"Activity" "Subject" "Feature" "Axial" "mean_mean" "mean_meanFreq" "mean_std"
"LAYING" 1 "fBodyAcc" "Y" -0.86706520518 0.097534841586 -0.8336255561
"LAYING" 1 "fBodyAccJerk" "X" -0.9570738838 0.132419092398 -0.9641607086
"LAYING" 1 "fBodyAccJerk" "Z" -0.9480609042 0.02438794528 -0.9605869872
"LAYING" 1 "fBodyAccMag" "" -0.8617676481 0.08640856294 -0.7983009404
"LAYING" 1 "fBodyBodyGyroMag" "" -0.8621901854 -0.1397750127 -0.82431943968
"LAYING" 1 "fBodyGyro" "Y" -0.9521914948 -0.091529130882 -0.9512320494
"LAYING" 1 "tBodyAcc" "X" 0.22159824394 NA -0.9280564692
"LAYING" 1 "tBodyAcc" "Z" -0.11320355358 NA -0.826061401628
"LAYING" 1 "tBodyAccJerk" "X" 0.0810865342 NA -0.958482112
"LAYING" 1 "tBodyAccJerk" "Z" 0.010834236361 NA -0.9548551108
"LAYING" 1 "tBodyAccJerkMag" "" -0.9543962646 NA -0.9282456284
"LAYING" 1 "tBodyAccMag" "" -0.8419291525 NA -0.79514486386
"LAYING" 1 "tBodyGyro" "X" -0.016553093978 NA -0.87354386782
"LAYING" 1 "tBodyGyro" "Z" 0.14868943626 NA -0.9082846626
"LAYING" 1 "tBodyGyroJerk" "X" -0.107270949192 NA -0.9186085208
"LAYING" 1 "tBodyGyroJerk" "Z" -0.0740501211 NA -0.9577901596
"LAYING" 1 "tBodyGyroJerkMag" "" -0.96346103 NA -0.9358409828
"LAYING" 1 "tGravityAcc" "X" -0.24888179828 NA -0.8968300184
"LAYING" 1 "tGravityAcc" "Z" 0.4458177198 NA -0.85236629022
"LAYING" 2 "fBodyAcc" "Y" -0.979800877916667 0.2572894655 -0.981025105625
"LAYING" 2 "fBodyAccJerk" "X" -0.985813630833333 0.159808328563875 -0.987250255833333
"LAYING" 2 "fBodyAccJerk" "Z" -0.986197134583333 0.190558218145833 -0.989345368541667
"LAYING" 2 "fBodyAccMag" "" -0.975110196458333 0.2662982125 -0.975121387916667
"LAYING" 2 "fBodyBodyGyroMag" "" -0.972112972708333 0.01856447223125 -0.96109837875
"LAYING" 2 "fBodyGyro" "Y" -0.983321635416667 0.04228066839375 -0.981910616458333
"LAYING" 2 "tBodyAcc" "X" 0.281373403958333 NA -0.974059464791667
"LAYING" 2 "tBodyAcc" "Z" -0.107245610416667 NA -0.984233296875
"LAYING" 2 "tBodyAccJerk" "X" 0.0825972511666667 NA -0.98587216875
"LAYING" 2 "tBodyAccJerk" "Z" -0.00180264895625 NA -0.988442014375
"LAYING" 2 "tBodyAccJerkMag" "" -0.987741696041667 NA -0.98551807625
"LAYING" 2 "tBodyAccMag" "" -0.977435485208333 NA -0.972873912916667
"LAYING" 2 "tBodyGyro" "X" -0.01847660675 NA -0.988275232916667
